Angle,Intensity
15.9388,86
15.9429,97
15.9471,82
15.9513,78
15.9555,90
15.9597,86
15.9638,91
15.968,88
15.9722,97
15.9764,89
15.9805,99
15.9847,79
15.9889,88
15.9931,81
15.9973,92
16.0014,99
16.0056,93
16.0098,87
16.014,72
16.0181,82
16.0223,90
16.0265,99
16.0307,97
16.0349,88
16.039,91
16.0432,105
16.0474,90
16.0516,92
16.0557,82
16.0599,87
16.0641,101
16.0683,94
16.0725,111
16.0766,109
16.0808,96
16.085,100
16.0892,93
16.0933,94
16.0975,106
16.1017,85
16.1059,75
16.1101,100
16.1142,78
16.1184,102
16.1226,93
16.1268,75
16.1309,98
16.1351,89
16.1393,101
16.1435,84
16.1477,84
16.1518,85
16.156,72
16.1602,85
16.1644,99
16.1685,94
16.1727,97
16.1769,100
16.1811,81
16.1853,97
16.1894,86
16.1936,93
16.1978,89
16.202,89
16.2061,96
16.2103,94
16.2145,93
16.2187,106
16.2229,60
16.227,98
16.2312,96
16.2354,100
16.2396,78
16.2437,84
16.2479,82
16.2521,94
16.2563,77
16.2605,97
16.2646,86
16.2688,66
16.273,99
16.2772,89
16.2813,96
16.2855,85
16.2897,94
16.2939,72
16.2981,92
16.3022,96
16.3064,98
16.3106,80
16.3148,87
16.3189,84
16.3231,102
16.3273,93
16.3315,93
16.3357,77
16.3398,74
16.344,86
16.3482,84
16.3524,100
16.3565,106
16.3607,76
16.3649,84
16.3691,89
16.3733,70
16.3774,89
16.3816,82
16.3858,103
16.39,93
16.3941,87
16.3983,81
16.4025,89
16.4067,74
16.4109,87
16.415,74
16.4192,97
16.4234,103
16.4276,77
16.4317,98
16.4359,101
16.4401,92
16.4443,100
16.4485,82
16.4526,92
16.4568,85
16.461,80
16.4652,85
16.4694,108
16.4735,90
16.4777,99
16.4819,88
16.4861,85
16.4902,86
16.4944,86
16.4986,96
16.5028,84
16.507,91
16.5111,82
16.5153,109
16.5195,78
16.5237,92
16.5278,96
16.532,76
16.5362,76
16.5404,109
16.5446,80
16.5487,77
16.5529,77
16.5571,86
16.5613,100
16.5654,84
16.5696,99
16.5738,90
16.578,82
16.5822,82
16.5863,84
16.5905,75
16.5947,79
16.5989,76
16.603,104
16.6072,79
16.6114,77
16.6156,112
16.6198,92
16.6239,77
16.6281,87
16.6323,86
16.6365,92
16.6406,87
16.6448,82
16.649,75
16.6532,85
16.6574,103
16.6615,91
16.6657,69
16.6699,87
16.6741,84
16.6782,100
16.6824,101
16.6866,91
16.6908,75
16.695,80
16.6991,88
16.7033,78
16.7075,93
16.7117,88
16.7158,97
16.72,90
16.7242,90
16.7284,101
16.7326,90
16.7367,85
16.7409,91
16.7451,92
16.7493,88
16.7534,104
16.7576,91
16.7618,97
16.766,75
16.7702,87
16.7743,81
16.7785,97
16.7827,91
16.7869,101
16.791,91
16.7952,81
16.7994,103
16.8036,85
16.8078,99
16.8119,85
16.8161,94
16.8203,90
16.8245,92
16.8286,100
16.8328,97
16.837,84
16.8412,88
16.8454,99
16.8495,89
16.8537,94
16.8579,84
16.8621,93
16.8662,86
16.8704,90
16.8746,76
16.8788,90
16.883,97
16.8871,81
16.8913,94
16.8955,114
16.8997,102
16.9038,80
16.908,103
16.9122,79
16.9164,91
16.9206,86
16.9247,73
16.9289,92
16.9331,98
16.9373,79
16.9414,91
16.9456,102
16.9498,91
16.954,77
16.9582,82
16.9623,79
16.9665,99
16.9707,89
16.9749,90
16.979,86
16.9832,67
16.9874,81
16.9916,82
16.9958,88
16.9999,88
17.0041,96
17.0083,100
17.0125,89
17.0166,84
17.0208,86
17.025,81
17.0292,79
17.0334,78
17.0375,76
17.0417,87
17.0459,112
17.0501,98
17.0542,106
17.0584,98
17.0626,92
17.0668,81
17.071,91
17.0751,86
17.0793,97
17.0835,90
17.0877,91
17.0918,85
17.096,90
17.1002,78
17.1044,106
17.1086,99
17.1127,97
17.1169,84
17.1211,75
17.1253,81
17.1294,86
17.1336,108
17.1378,69
17.142,90
17.1462,87
17.1503,80
17.1545,79
17.1587,93
17.1629,103
17.167,114
17.1712,112
17.1754,69
17.1796,84
17.1838,85
17.1879,89
17.1921,76
17.1963,97
17.2005,90
17.2046,78
17.2088,91
17.213,76
17.2172,91
17.2214,94
17.2255,75
17.2297,81
17.2339,86
17.2381,77
17.2422,75
17.2464,102
17.2506,73
17.2548,86
17.259,75
17.2631,100
17.2673,86
17.2715,86
17.2757,115
17.2798,106
17.284,82
17.2882,101
17.2924,90
17.2966,98
17.3007,94
17.3049,82
17.3091,89
17.3133,75
17.3174,91
17.3216,84
17.3258,92
17.33,105
17.3342,96
17.3383,84
17.3425,96
17.3467,73
17.3509,75
17.355,98
17.3592,99
17.3634,110
17.3676,85
17.3718,92
17.3759,77
17.3801,91
17.3843,77
17.3885,112
17.3926,84
17.3968,87
17.401,92
17.4052,89
17.4094,102
17.4135,106
17.4177,75
17.4219,92
17.4261,82
17.4302,87
17.4344,74
17.4386,96
17.4428,86
17.447,76
17.4511,84
17.4553,87
17.4595,82
17.4637,93
17.4678,87
17.472,81
17.4762,100
17.4804,104
17.4846,104
17.4887,78
17.4929,104
17.4971,103
17.5013,85
17.5054,79
17.5096,73
17.5138,110
17.518,90
17.5222,110
17.5263,89
17.5305,103
17.5347,89
17.5389,102
17.543,88
17.5472,86
17.5514,101
17.5556,90
17.5598,85
17.5639,97
17.5681,91
17.5723,98
17.5765,79
17.5806,86
17.5848,84
17.589,86
17.5932,101
17.5974,81
17.6015,82
17.6057,101
17.6099,84
17.6141,74
17.6182,96
17.6224,88
